+----------新的日志片段----------+
日志系统已上线，欢迎使用MulNX

[2026-06-30 12:27:47.9210420][成功][Debugger] 异步消息订阅：Debugger/SetMaxInfoCount    (MsgMixin.hpp:25)
[2026-06-30 12:27:47.9210490][成功][Debugger] 初始化成功！    (Module.hpp:25)
[2026-06-30 12:27:47.9210840][成功][HandleSystem] 初始化成功！    (Module.hpp:25)
[2026-06-30 12:27:47.9211310][提示][InputSystem] 消息推送：将任务 InputSystem::UpdateKeysState 注册到工作者 InputSystem    (TaskMixin.hpp:23)
[2026-06-30 12:27:47.9211410][成功][InputSystem] 初始化成功！    (Module.hpp:25)
[2026-06-30 12:27:47.9224000][提示][ShortcutManager] 配置文件名称: MulNX 官方快捷键配置    (ShortcutManager.cpp:14)
[2026-06-30 12:27:47.9226210][提示][ShortcutManager] 消息推送：将任务 ShortcutManager::Check 注册到工作者 MulNXMain    (TaskMixin.hpp:23)
[2026-06-30 12:27:47.9227340][成功][ShortcutManager] 初始化成功！    (Module.hpp:25)
[2026-06-30 12:27:47.9227960][提示][GlobalVars] 消息推送：将任务 GlobalVars::Main 注册到工作者 MulNXMain    (TaskMixin.hpp:23)
[2026-06-30 12:27:47.9228040][成功][GlobalVars] 初始化成功！    (Module.hpp:25)
[2026-06-30 12:27:48.1138680][警告][Driver] 发送了UI启动指令！渲染即将开始！    (Driver.cpp:36)
[2026-06-30 12:27:48.1138820][成功][Win32Starter] 初始化成功！    (Module.hpp:25)
[2026-06-30 12:27:48.1139340][成功][DLLInjectHelper] 初始化成功！    (Module.hpp:25)
[2026-06-30 12:27:48.1309010][成功][MessageManager] 消息派发激活！    (MessageManager.cpp:79)
[2026-06-30 12:27:48.1495350][成功][TaskSystem] 成功将任务：ModuleManager::Update 添加进入工作者：MulNXMain    (TaskSystem.cpp:86)
[2026-06-30 12:27:48.1495520][成功][TaskSystem] 成功将任务：Debugger::Main 添加进入工作者：MulNXMain    (TaskSystem.cpp:86)
[2026-06-30 12:27:48.1497770][成功][TaskSystem] 成功创建工作者：InputSystem    (TaskSystem.cpp:84)
[2026-06-30 12:27:48.1497940][成功][TaskSystem] 成功将任务：InputSystem::UpdateKeysState 添加进入工作者：InputSystem    (TaskSystem.cpp:86)
[2026-06-30 12:27:48.1498090][成功][TaskSystem] 成功将任务：ShortcutManager::Check 添加进入工作者：MulNXMain    (TaskSystem.cpp:86)
[2026-06-30 12:27:48.1498160][成功][TaskSystem] 成功将任务：GlobalVars::Main 添加进入工作者：MulNXMain    (TaskSystem.cpp:86)
[2026-06-30 12:27:48.1504000][成功][CS2BootLoader] 异步消息订阅：CS2BootLoader/Launch    (MsgMixin.hpp:25)
[2026-06-30 12:27:48.1504080][成功][CS2BootLoader] 异步消息订阅：CS2BootLoader/PathUpdate    (MsgMixin.hpp:25)
[2026-06-30 12:27:48.1504180][成功][CS2BootLoader] 异步消息订阅：CS2BootLoader/Save    (MsgMixin.hpp:25)
[2026-06-30 12:27:48.1504260][提示][CS2BootLoader] 消息推送：将任务 CS2BootLoader::Update 注册到工作者 MulNXMain    (TaskMixin.hpp:23)
[2026-06-30 12:27:48.1504380][提示][CS2BootLoader] 将UI节点注册信息推送到了消息系统    (UIMixin.hpp:28)
[2026-06-30 12:27:48.1504630][成功][CS2BootLoader] 初始化成功！    (Module.hpp:25)
[2026-06-30 12:27:48.1505110][成功][MulNXController] 异步消息订阅：ModuleManager/ModuleInfo/Response    (MsgMixin.hpp:25)
[2026-06-30 12:27:48.1505160][提示][MulNXController] 将UI节点注册信息推送到了消息系统    (UIMixin.hpp:28)
[2026-06-30 12:27:48.1505230][提示][MulNXController] 消息推送：将任务 MulNXController::Main 注册到工作者 MulNXMain    (TaskMixin.hpp:23)
